"site_no","date","sscmgL"
"02342070",1994-05-13,27
"02335870",1993-04-21,9
"02356980",1994-06-09,5
"023358694",1994-02-23,1300
"02346575",1994-03-17,4
"02337500",1994-07-05,90
"02353000",1994-07-12,45
"02331247",1994-03-10,19
"02338000",1994-06-28,451
"02353000",1994-07-27,33
"02349500",1994-03-17,34
"02358000",1994-03-31,11
"02350080",1994-08-08,11
"02358000",1994-03-03,23
"02358000",1992-12-01,18
"02337500",1994-06-24,206
"02358000",1994-03-12,8
"02353000",1994-08-15,13
"02332830",1994-08-16,141
"02353000",1994-08-15,15
"02331600",1994-03-10,40
"02347875",1994-05-19,7
"02337500",1994-06-24,73
"02352980",1994-03-15,9
"02331600",1994-12-12,8
"02338000",1994-02-09,121
"02356980",1994-01-30,12
"02358000",1994-03-29,12
"02353000",1994-04-15,13
"02336300",1994-06-27,895
"02336300",1994-01-18,41
"02337500",1994-12-13,3
"02358000",1994-12-01,12
"02358000",1994-03-03,24
"02342111",1994-03-18,11
"02341195",1994-05-19,4
"02358000",1994-03-03,18
"02358000",1994-03-06,15
"02349900",1994-03-14,14
"02343801",1994-07-20,41
"02358000",1994-03-18,17
"02336300",1994-11-15,1
"02353000",1994-07-26,26
"02350080",1994-04-13,71
"02356980",1994-10-11,2
"02335760",1994-03-09,24
"02350080",1994-01-28,167
"023358694",1994-03-02,338
"02338000",1994-06-27,75
"02335000",1994-04-21,20
"02358000",1994-03-02,14
"02349685",1994-03-14,7
"02353000",1994-03-05,29
"02338000",1994-07-26,226
"02357000",1994-07-08,27
"02353000",1994-07-20,71
"02358000",1994-03-02,12
"02350900",1994-07-07,62
"02337500",1994-03-07,10
"02358000",1994-12-01,15
"02349350",1994-03-17,6
"02331600",1994-10-04,3
"02331600",1994-04-15,18
"02356980",1994-12-05,280
"02356860",1994-05-11,8
"02333500",1994-12-12,7
"02358000",1994-03-18,20
"02343801",1994-05-09,9
"02332830",1994-11-28,260
"02353000",1992-02-06,11
"02335000",1994-01-20,83
"02353000",1994-03-09,20
"02356980",1994-11-14,201
"02332830",1994-03-27,1640
"02353000",1994-03-04,45
"02338000",1994-10-18,16
"02353000",1994-07-09,43
"02358000",1994-03-28,16
"02331600",1994-01-13,16
"02335760",1994-05-18,17
"02358000",1992-11-26,12
"02337500",1994-10-12,7
"02350080",1994-03-21,11
"02358000",1994-12-01,10
"02353000",1994-07-09,105
"023358694",1994-02-23,1740
"02356980",1994-09-07,1
"02358000",1994-03-06,17
"02338000",1992-09-23,22
"02333500",1992-12-17,427
"02336300",1994-12-15,2
"02353000",1994-03-03,36
"02333970",1994-03-10,305
"02335000",1994-11-17,14
"02335000",1994-03-08,7
"02336300",1994-07-19,28
"02341195",1994-03-17,6
"02341265",1994-03-17,7
"02338000",1994-01-19,44
"02353000",1994-12-14,17
"02331790",1994-03-10,53
"02343801",1994-03-14,6
"02358000",1994-03-06,21
"02353000",1994-07-11,53
"02338000",1994-05-10,32
"02358000",1994-03-31,14
"02339935",1994-05-19,8
"02335870",1994-01-06,3
"02358000",1994-03-06,17
"02358000",1994-03-03,16
"02349500",1994-05-12,29
"02350080",1993-11-08,9
"02358000",1994-03-06,16
"02353000",1994-07-07,72
"02337500",1994-07-21,14
"02341265",1994-05-19,15
"02353000",1994-07-10,42
"02354437",1994-03-15,3
"02358000",1994-03-29,10
"02338000",1994-06-07,68
"02353000",1994-07-12,44
"02331600",1993-03-25,28
"02358000",1994-03-18,12
"02350070",1994-05-10,16
"02350079",1994-03-14,10
"02356945",1994-05-10,8
"02333500",1994-10-04,11
"02335000",1993-08-11,3
"02358000",1994-03-06,18
"02353000",1994-05-25,4
"02335870",1994-02-15,10
"02335870",1993-06-03,13
"02358000",1994-03-31,12
"023358694",1994-02-11,1080
"02338000",1994-02-09,120
"02332830",1994-02-16,13
"02358000",1994-03-03,28
"02358000",1994-03-05,21
"02358000",1994-03-28,14
"02350078",1994-05-10,10
"02338000",1994-06-24,64
"02353000",1994-07-20,56
"02358000",1994-03-03,17
"02358000",1994-03-06,17
"02358000",1994-12-01,12
"02338000",1994-06-27,28
"02358000",1992-11-30,16
"02339500",1994-03-18,7
"02358000",1994-03-29,16
"02331600",1994-12-12,6
"02356980",1994-03-30,11
"02350080",1994-07-05,150
"02358000",1994-03-31,11
"023358694",1994-02-23,596
"02337500",1994-11-16,1
"02337500",1994-04-20,18
"02332830",1994-03-10,141
"02339935",1994-03-17,6
"02358000",1994-03-02,14
"02332810",1994-05-24,6
"02353000",1994-07-07,55
"02358000",1994-03-29,16
"02338000",1993-12-22,25
"02353000",1994-07-11,41
"02333500",1994-05-19,4
"02358000",1994-03-18,20
"02336130",1994-05-17,8
"02336300",1994-03-08,4
"02332825",1994-03-10,41
"02336300",1993-08-10,22
"02358000",1993-12-01,6
"02355350",1994-07-07,36
"02353000",1993-01-28,10
"02350080",1994-12-05,33
"02333500",1993-03-25,14
"02356980",1993-05-12,6
"02333500",1994-08-08,13
"02331650",1994-03-10,45
"02358000",1994-03-18,18
"02335870",1993-12-02,3
"02353000",1994-07-20,55
"02358000",1994-03-05,19
"02358000",1994-03-03,25
"02358000",1994-03-18,17
"02353000",1994-07-11,70
"02358000",1994-03-29,15
"02338000",1994-11-29,250
"02338000",1994-11-16,6
"02338000",1994-06-28,473
"02332830",1994-11-14,5
"023358694",1994-02-23,543
"02358000",1994-03-28,12
"02336529",1994-05-17,1
"02338000",1994-10-18,16
"02338000",1994-10-12,22
"02349500",1994-07-06,93
"023358694",1994-11-15,2
"023415605",1994-05-12,8
"02333500",1994-01-13,9
"02358000",1994-03-02,12
"02353000",1993-08-11,3
"02350080",1994-01-28,61
"02338000",1994-07-26,228
"02358000",1994-03-29,16
"02356980",1993-03-24,92
"02335000",1994-12-15,5
"02337500",1994-06-24,165
"02336300",1993-07-19,8
"02353000",1994-09-01,11
"02353000",1994-03-07,15
"02338000",1994-06-27,29
"02358000",1994-03-06,17
"02358000",1994-12-01,14
"02335000",1994-10-14,2
"02358000",1994-03-18,16
"02332830",1994-10-11,5
"02353000",1994-07-08,58
"02344350",1993-06-17,27
"02353000",1994-04-15,11
"02358000",1994-03-31,16
"02335910",1994-05-17,3
"02350080",1994-10-12,12
"02358000",1992-12-01,15
"02358000",1994-03-02,14
"02358000",1994-03-03,21
"02350080",1994-11-14,3
"02350080",1994-03-03,27
"02335790",1994-05-18,9
"02331600",1994-08-08,10
"02344350",1994-05-16,55
"02358000",1993-12-01,10
"02336300",1994-10-13,747
"02338000",1994-07-21,172
"023358694",1994-03-24,1410
"02353000",1994-03-05,33
"02356980",1994-08-09,5
"02350080",1994-01-28,157
"02358000",1993-01-27,13
"02335870",1994-01-12,52
"02338000",1994-08-30,70
"023358694",1994-03-24,1070
"02354500",1994-03-15,15
"02358000",1994-03-02,13
"02353000",1994-07-14,34
"02332830",1994-07-20,10
"02333500",1994-10-04,10
"02331650",1994-05-25,21
"023358694",1994-10-13,43
"02353000",1994-03-14,16
"02336300",1994-02-15,10
"02356980",1994-04-13,23
"02358000",1994-03-02,17
"02358000",1994-03-05,15
"02350080",1994-03-29,25
"02353000",1993-09-30,1
"02358000",1994-03-28,15
"02335000",1993-12-21,47
"02350080",1994-01-29,34
"02358000",1994-03-28,13
"02353000",1994-05-09,19
"02333500",1994-05-19,4
"02337000",1994-05-19,14
"02339935",1993-06-16,13
"02347500",1994-05-20,25
"02350080",1994-01-29,27
"02338000",1994-02-17,24
"02353000",1994-03-09,23
"02335870",1993-09-15,9
"02353000",1994-01-21,10
"02358000",1994-03-28,12
"02335870",1993-10-26,28
"02353000",1994-07-20,54
"02333500",1993-10-21,2
"02353000",1994-07-08,71
"02353000",1994-07-04,8
"02353000",1994-01-21,11
"02354500",1994-05-11,10
"02337500",1994-05-23,9
"02337000",1994-03-09,17
"02353500",1994-03-15,13
"02350080",1993-07-27,9
"02337486",1994-05-23,6
"02336130",1993-06-22,51
"02336610",1994-05-18,3
"02335870",1994-04-21,11
"02358000",1994-03-05,19
"02336728",1994-03-08,14
"02350080",1994-01-24,3
"02350080",1994-01-28,102
"02332830",1994-05-24,15
"02355600",1994-05-11,5
"02335000",1994-09-13,3
"02356860",1994-03-15,6
"02358000",1993-12-01,6
"02332830",1994-03-27,2410
"02331600",1994-01-13,15
"02333970",1994-05-24,8
"02358000",1994-03-05,14
"02356960",1994-05-10,3
"02353000",1993-05-28,8
"02336300",1993-09-13,3
"02332830",1994-06-22,20
"02338000",1994-04-20,48
"02350080",1993-10-04,9
"02331790",1993-06-14,42
"02358000",1994-12-01,24
"02353000",1994-07-13,41
"02343801",1994-02-09,12
"02347875",1993-06-16,33
"02356945",1994-03-16,5
"02353000",1994-07-06,60
"02358000",1994-03-03,29
"02358000",1994-12-01,13
"02353500",1994-05-11,31
"02354500",1994-07-07,23
"02335870",1994-03-29,78
"02358000",1994-03-02,13
"02350900",1994-05-09,23
"02335000",1994-06-23,4
"02358000",1994-03-28,13
"02336250",1994-03-08,8
"02338000",1994-08-30,73
"02358000",1994-03-29,17
"02358000",1994-03-02,16
"02331600",1993-03-25,29
"02332830",1994-03-27,765
"02353000",1994-07-12,39
"02353000",1993-01-22,15
"02344350",1994-03-07,14
"02358000",1994-03-02,16
"02339500",1994-05-19,3
"02358000",1994-03-18,16
"02358000",1994-03-31,13
"02338000",1993-06-23,134
"02350080",1993-06-21,8
"02336529",1994-03-08,7
"02332825",1994-05-24,7
"02353000",1991-09-05,9
"02358000",1991-03-06,24
"02346575",1994-05-19,11
"02331600",1994-05-27,28
"02353000",1994-07-27,36
"02353000",1994-08-09,29
"02356980",1994-04-12,4
"02358000",1991-03-11,38
"02337492",1994-05-23,7
"02332830",1994-03-27,2180
"02335870",1994-05-18,17
"02353000",1994-07-04,8
"02335870",1994-03-09,9
"02338000",1994-09-14,34
"02331790",1994-05-25,15
"02337500",1994-06-24,55
"02335870",1994-01-18,18
"023358694",1994-08-17,57
"02335864",1994-05-18,6
"02338000",1994-06-27,580
"02353000",1994-07-10,54
"02332830",1993-10-14,6
"02331600",1994-05-18,4
"02332830",1994-09-13,10
"02335868",1994-05-18,13
"02336610",1994-03-09,6
"02335868",1994-03-09,7
"02356980",1994-01-31,16
"02333500",1991-03-29,1920
"023358694",1993-10-30,149
"02350080",1993-03-10,13
"02353000",1994-03-07,18
"02336300",1994-08-17,95
"023358694",1994-02-23,94
"02338000",1994-06-29,167
"02343801",1994-09-01,5
"02335870",1994-06-21,12
"02358000",1994-03-06,17
"02338000",1994-05-10,31
"02353000",1994-02-08,46
"02356980",1994-01-31,9
"02333500",1991-11-15,6
"02333500",1994-04-15,11
"02358000",1994-03-29,9
"02358000",1994-03-31,13
"02338000",1994-06-27,372
"02350080",1994-04-05,14
"02350080",1994-04-13,116
"02358000",1992-02-19,30
"02358000",1992-11-17,9
"02338000",1992-12-21,137
"02358000",1992-02-19,33
"02353000",1994-07-07,58
"02335000",1994-07-22,8
"02358000",1993-03-24,16
"02353000",1994-10-07,21
"02337500",1994-09-14,4
"02336728",1994-05-17,9
"02350080",1994-03-14,11
"02355600",1994-03-15,3
"02338000",1994-12-13,37
"02350080",1994-04-13,441
"02337492",1994-03-07,9
"02338000",1994-06-29,170
"02335910",1994-03-08,5
"02358000",1994-03-28,15
"02353000",1992-09-03,8
"02350080",1994-09-06,8
"02353000",1994-03-03,35
"02353000",1994-07-10,44
"02335000",1994-02-16,29
"02358000",1994-03-31,13
"02358000",1994-03-18,16
"02336610",1993-06-15,10
"02343801",1992-02-06,29
"02335790",1994-03-09,36
"02356980",1994-04-05,4
"02358000",1994-03-05,24
"02332830",1994-03-27,3380
"02350080",1994-04-11,21
"02336380",1994-03-09,9
"02358000",1992-11-26,10
"02353000",1994-07-09,115
"02356980",1994-07-05,22
"02351890",1994-05-09,17
"02333500",1992-07-16,3
"02333500",1994-04-15,10
"02358000",1992-02-20,23
"02333500",1992-02-25,728
"02358000",1992-11-25,13
"02358000",1992-01-07,5
"02350900",1994-03-15,20
"02336250",1994-05-17,9
"02349900",1994-05-09,18
"02331600",1994-04-15,17
"02358000",1994-03-28,12
"02358000",1991-03-03,17
"02356980",1994-02-15,4
"02338000",1992-04-06,6
"02350080",1994-06-08,25
"02333500",1994-01-13,9
"02336300",1994-06-21,7
"02338000",1994-11-29,265
"02353000",1994-07-10,55
"02332830",1994-04-19,19
"02358000",1994-12-01,13
"02332830",1994-12-19,5
"02343801",1991-09-05,6
"02336300",1994-06-27,1360
"02353000",1992-12-07,18
"02358000",1992-11-28,42
"02333500",1994-08-08,13
"02335870",1994-03-24,37
"02338000",1992-07-01,95
